Localino;xL;yL;Reference;xR;yR
L01;-227;13;R01;-230.89;38.8
L02;-263;16;R02;-230.65;49.04
L03;-238;3;R03;-230.66;58.89
L04;-245;34;R04;-229.87;69.09
L05;-237;18;R05;-230.91;78.73
L06;-246;40;R06;-230.49;88.62
L07;-239;56;R07;-230.34;99.02
L08;-242;-127;R08;-231.08;107.77
L09;-256;61;R09;-220.66;109.34
L10;-267;89;R10;-210.9;107.71
L11;-223;35;R11;-200.75;107.96
L12;-196;71;R12;-190.99;107.96
L13;-191;38;R13;-180.89;107.81
L14;-176;60;R14;-170.53;107.72
L15;-168;84;R15;-160.84;108.58
L16;-156;59;R16;-150.58;107.6
L17;-158;55;R17;-151.02;98.02
L18;-154;56;R18;-152.05;88.36
L19;-135;69;R19;-151.69;78.48
L20;-161;21;R20;-151.76;68.75
L21;-154;6;R21;-151.8;58.54
L22;-147;-6;R22;-151.88;49.13
L23;-144;-43;R23;-151.06;39.37
L24;-157;-5;R24;-161.24;39.08
L25;-165;15;R25;-170.51;38.77
L26;-194;-48;R26;-180.45;38.71
L27;-190;-3;R27;-191.51;38.16
L28;-201;-16;R28;-200.74;38.48
L29;-211;-105;R29;-210.96;38.64
L30;-220;-2;R30;-220.69;38.79
L31;-210;8;R31;-190.97;78.65
